pnr_id,trip_id,primary_customer_id,origin,destination,itinerary_flight_keys,intl_flag,group_size,elite_status_level,fare_class_bucket,rebook_flexibility_index,loyalty_value_index,estimated_voucher_cost_usd,pnr_misconnect_prob,pnr_reaccom_complexity_score
PNRB4C71648,TRIP_24C60F8E,CUST873422,MSP,FRA,"['DL5568_20260219_046', 'DL4572_20260219_049']",True,2,PLATINUM,X,0.4,0.66,0,0.14,0.21
PNRC13E54FA,TRIP_16FE52FF,CUST599284,LAX,BOS,['DL2656_20260219_007'],False,1,,V,0.53,0.36,0,0.0,0.28
PNR5F65A61B,TRIP_9674B174,CUST719531,LAX,CDG,['DL1275_20260219_034'],True,5,SILVER,K,0.62,0.67,0,0.0,0.21
PNRCAB9F599,TRIP_412EDC41,CUST605048,MSP,JFK,['DL9277_20260219_134'],False,2,,E,0.58,0.34,0,0.0,0.16
PNRF98E2CA1,TRIP_78CC8287,CUST591989,MSP,SLC,"['DL4203_20260219_074', 'DL5625_20260219_061']",False,1,,Q,0.57,0.31,0,0.19,0.49
PNR60007166,TRIP_393D5AEC,CUST726003,JFK,DFW,['DL4510_20260219_076'],False,1,,X,0.36,0.1,0,0.0,0.14
PNR00825EB8,TRIP_2E0A00A5,CUST968668,DTW,BOS,['DL7282_20260219_143'],False,1,,N,0.46,0.18,0,0.0,0.16
PNRF05B567B,TRIP_12AD1811,CUST994940,DTW,CDG,"['DL6180_20260219_078', 'DL4119_20260219_066']",True,2,,T,0.25,0.14,288.29,0.22,0.46
PNR0BD3B905,TRIP_042E03BE,CUST660957,JFK,BOS,['DL2106_20260219_125'],False,1,,B,0.22,0.39,0,0.0,0.12
PNRD00666D0,TRIP_B34C6626,CUST540656,DFW,DFW,"['DL9431_20260219_132', 'DL8515_20260219_013']",False,1,,S,0.42,0.34,0,0.14,0.9
PNRF03F112D,TRIP_30D8696D,CUST158760,MSP,LAX,['DL7412_20260219_008'],False,1,GOLD,Q,0.39,0.45,0,0.0,0.19
PNRD4B554E1,TRIP_671FA728,CUST564478,DTW,DTW,"['DL3544_20260219_073', 'DL3294_20260219_079']",False,3,,U,0.37,0.4,0,0.2,0.26
PNR7E1D9A0D,TRIP_E15D4999,CUST508024,SEA,JFK,['DL5950_20260219_024'],False,2,DIAMOND,S,0.68,0.38,0,0.0,0.13
PNR00936AC2,TRIP_F0C84A8B,CUST365617,JFK,ATL,['DL7836_20260219_010'],False,2,,H,0.54,0.19,0,0.0,0.14
PNR12A140E5,TRIP_4AEB7330,CUST389511,DFW,CDG,"['DL6724_20260219_064', 'DL1275_20260219_034']",True,1,,Y,0.61,0.22,0,0.12,0.29
